id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36052,Courge butternut ~10K ~10P FR,138941,courge butternut,264,KG,1.1,2.345,0.0
47,36052,Orange val late 8 105F c2 ZA,140959,orange valencia late,264,KG,16.6,3.135,0.0
47,36052,Poivron vert 70/90 1KX5 c1 REG,149653,poivron vert entier,264,KG,3.0,4.097,0.0
47,36052,"Citron lime ~4,5K c1 BR",151265,,264,KG,4.4,3.9,0.0
47,36052,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,9.0,2.95,0.0
47,36052,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,5.0,6.556,0.0
47,36052,HF basilic sac 100g KE,195823,basilic frais,264,SAC,20.0,1.9,0.0
47,36052,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36052,Concombre 300/400 HVE 12P c1 FR,222139,concombre,264,KG,0.7,3.486,0.0
47,36052,Citron jaune 5 ~6K c1 ES,231042,citron jaune,264,KG,12.434,1.9,0.0
47,36052,Palourde japonaise sauv moyen 3K,101723,palourde,264,KG,6.0,13.9,0.0
47,36052,Puree avocat HPP dec 1KX6 JDM,287682,puree abricot,264,KG,5.0,10.5,0.0
